Rank,playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,fWAR,xWOBADf,wOBA,xWOBA,xAVG,xOBP,OBP,AVG,AB,RPW,RLR,rPOS,BSR,wRAA
2462,1291213568,E. Kirkendoll,Eli Kirkendoll,Kirkendoll,DH,Morehead State University,MORE,730158080,Morehead State,BBC,R,R,.271,.168,.478,.310,.247,.373,.500,.400,5,3.00,0.11,0.00,.013,.695
2463,1297607936,G. Carlson,Gunnett Carlson,Carlson,DH,Florida State University,FSU,101,Florida State,BBC,L,L,.271,.143,.414,.271,.032,.384,.545,.286,7,3.00,0.19,-0.04,.009,.655
2464,1193792768,C. Mervilus,Cj Mervilus,Mervilus,SS,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,.271,.109,.301,.192,.000,.278,.389,.154,26,3.13,0.68,1.58,.100,-1.512
2465,1142682368,M. Edwards,Maurice Edwards,Edwards,2B,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,.270,.112,.754,.642,.616,.872,1.000,1.000,1,3.00,0.05,0.06,-.386,1.084
2466,1151100928,C. Melvin,Camden Melvin,Melvin,DH,Purdue University,PUR,730353152,Purdue,BBC,L,L,.269,.045,.340,.295,.245,.334,.392,.311,45,3.10,0.93,-0.46,.693,-.329
2467,1341949696,N. Costello,Nick Costello,Costello,RF,UC San Diego,UCSD,730348032,UC San Diego,BBC,S,R,.269,.143,.371,.228,.005,.325,.458,.205,39,3.17,1.12,-1.26,-.304,1.300
2468,1139894784,C. Garate,Carter Garate,Garate,SS,University of Oregon,ORE,4807,Oregon,BBC,L,L,.267,.082,.362,.281,.207,.279,.333,.267,30,3.21,0.62,0.84,-1.050,.446
2469,1198577152,K. Kropf,Koby Kropf,Kropf,DH,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,R,R,.267,-,.382,.217,-,.308,.462,.222,9,3.13,0.24,0.18,.020,.401
2470,1145242880,C. Loupe,Collin Loupe,Loupe,SS,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,.266,.087,.442,.355,.398,.398,.500,.500,8,3.17,0.15,0.00,.019,.674
2471,1287948032,C. Baker,Chris Baker,Baker,DH,University of Virginia,UVA,5415,Virginia,BBC,L,R,.266,.118,.364,.246,.171,.263,.389,.313,32,3.08,0.65,-0.09,-.286,.543
2472,1194221568,S. Hewlette,Shane Hewlette,Hewlette,RF,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,.265,-,.419,.174,-,.250,.500,.333,12,3.14,0.29,-0.32,-.155,1.019
2473,1237363200,D. Cromer,David Cromer,Cromer,RF,University of South Carolina,SCAR,730348544,South Carolina,BBC,R,R,.265,.303,.614,.311,.208,.406,.750,.667,3,3.00,0.07,0.00,-.225,.949
2474,1288857600,B. Rozenblum,Ben Rozenblum,Rozenblum,DH,University of South Florida,USF,2292,South Florida,BBC,R,R,.264,.143,.296,.154,.102,.195,.337,.263,76,3.19,1.63,2.75,.387,-3.919
2475,1123956992,T. Gillen,Tate Gillen,Gillen,CF,Creighton University,CREI,730243840,Creighton,BBC,S,R,.264,.042,.366,.325,.245,.403,.440,.292,72,3.27,1.86,-3.22,.545,1.676
2476,1281883136,E. Plyler,Ethan Plyler,Plyler,2B,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,.264,.196,.339,.142,.075,.178,.378,.300,40,3.25,0.86,0.66,-.329,-.332
2477,1123943680,B. Edmonds,Blake Edmonds,Edmonds,RF,Jacksonville University,JAC,730335488,Jacksonville,BBC,S,R,.261,.130,.393,.263,.127,.345,.500,.333,21,3.14,0.52,-0.88,.040,1.149
2478,1311218432,B. Jones,Brendan Jones,Jones,DH,College of the Holy Cross,HC,730310656,Holy Cross,BBC,L,R,.258,.049,.304,.255,.193,.291,.333,.241,112,3.23,2.47,4.38,-1.021,-4.990
2479,1295778816,S. Murrison,Sam Murrison,Murrison,LF,"Indiana University, Bloomington",IND,4866,Indiana,BBC,R,R,.257,.044,.440,.396,.274,.516,.500,.250,4,3.17,0.11,0.00,.210,.494
2480,1195442176,L. Zeisloft,Luke Zeisloft,Zeisloft,RF,University of Maryland-College Park,MD,730172928,Maryland,BBC,R,R,.257,-,.376,.064,-,.091,.364,.300,20,3.10,0.42,-0.28,.060,.597
2481,1203944192,L. Deleon,Luis Deleon,Deleon,LF,Longwood University,LONG,730219264,Longwood,BBC,R,R,.254,.088,.354,.266,.206,.276,.342,.279,136,3.26,2.92,-5.22,2.225,.905
2482,1184280576,A. Gutierrez,Auggie Gutierrez,Gutierrez,SS,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,.251,.147,.336,.189,.043,.258,.419,.255,47,3.37,1.30,0.70,-.501,-.658
2483,1203297280,D. Lux,Damon Lux,Lux,LF,Duke University,DUKE,730336256,Duke,BBC,R,R,.250,.064,.365,.301,.195,.330,.378,.255,212,3.30,5.05,-8.82,.415,4.177
2484,1096221440,J. Mccutcheon,Jake Mccutcheon,Mccutcheon,2B,Missouri State University,MOSU,5382,Missouri State,BBC,L,R,.250,.071,.321,.250,.196,.303,.363,.267,105,3.17,2.31,1.29,.042,-2.846
2485,1102219264,R. Lovich,Ross Lovich,Lovich,LF,University of Missouri,MIZZ,4806,Missouri,BBC,L,L,.250,.127,.378,.251,.180,.275,.376,.298,94,3.50,2.24,-3.40,-.920,2.962
2486,1217857536,J. Hurd,Justin Hurd,Hurd,2B,University at Albany,ALBY,730280448,Albany,BBC,R,R,.249,.162,.332,.170,.123,.216,.304,.225,40,3.16,0.85,0.86,-.324,-.601
2487,1278156288,T. Swidorski,Tj Swidorski,Swidorski,3B,Cornell University,COR,730298624,Cornell,BBC,R,R,.248,.115,.320,.205,.136,.254,.340,.238,42,3.27,0.98,1.10,-.056,-1.210
2488,1172422144,J. Thompson,Jackson Thompson,Thompson,2B,Campbell University,CAMP,730187776,Campbell,BBC,L,L,.247,.149,.377,.228,.013,.317,.462,.222,9,3.20,0.24,0.18,.020,.346
2489,1292499200,L. Carmichael,Lucas Carmichael,Carmichael,RF,College of William & Mary,WM,730232064,William & Mary,BBC,L,L,.247,.060,.362,.301,.194,.379,.438,.271,129,3.32,3.29,-4.79,.106,2.213
2490,1177548544,L. Kerrins,Luke Kerrins,Kerrins,LF,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,.247,.086,.455,.369,.055,.527,.625,.250,4,3.14,0.15,-0.14,.001,.767
2491,1184448768,J. Santucci,Jonathan Santucci,Santucci,DH,Duke University,DUKE,730336256,Duke,BBC,L,L,.246,.092,.422,.329,.261,.261,.300,.300,10,3.25,0.19,-0.09,.036,.663
